dbGap Variable	dbGap Table	dbGap Description	UChicago Variable	UChicago Table	Type	Enumerations
volspm1c	pht001116.v10, pht001111.v4	Mean total isometric volume score, phantom adjusted	volspm1c	cardiac_ct_scan	number	
agatu11c	pht001116.v10, pht001111.v4	Scan 1: agatston calcium score, unadjusted	agatu11c	cardiac_ct_scan	number	
volu11c	pht001116.v10, pht001111.v4	Scan 1: total calcium volume, unadjusted	volu11c	cardiac_ct_scan	number	
volsu11c	pht001116.v10, pht001111.v4	Scan 1: total volume score, unadjusted	volsu11c	cardiac_ct_scan	number	
mass11c	pht001116.v10, pht001111.v4	Scan 1: cac arterial mass	mass11c	cardiac_ct_scan	number	
agatp11c	pht001116.v10, pht001111.v4	Scan 1: agatston calcium score, phantom-adjusted	agatp11c	cardiac_ct_scan	number	
volp11c	pht001116.v10, pht001111.v4	Scan 1: total calcium volume, phantom-adjusted	volp11c	cardiac_ct_scan	number	
volsp11c	pht001116.v10, pht001111.v4	Scan 1: total volume score, phantom-adjusted	volsp11c	cardiac_ct_scan	number	
phok11c	pht001116.v10, pht001111.v4	Scan 1: phantom adjustment valid	phok11c	cardiac_ct_scan	enum	NOT VALID|VALID
agatu21c	pht001116.v10, pht001111.v4	Scan 2: agatston calcium score, unadjusted	agatu21c	cardiac_ct_scan	number	
volu21c	pht001116.v10, pht001111.v4	Scan 2: total calcium volume, unadjusted	volu21c	cardiac_ct_scan	number	
volsu21c	pht001116.v10, pht001111.v4	Scan 2: total volume score, unadjusted	volsu21c	cardiac_ct_scan	number	
mass21c	pht001116.v10, pht001111.v4	Scan 2: cac arterial mass	mass21c	cardiac_ct_scan	number	
agatp21c	pht001116.v10, pht001111.v4	Scan 2: agatston calcium score, phantom-adjusted	agatp21c	cardiac_ct_scan	number	
volp21c	pht001116.v10, pht001111.v4	Scan 2: total calcium volume, phantom-adjusted	volp21c	cardiac_ct_scan	number	
volsp21c	pht001116.v10, pht001111.v4	Scan 2: total volume score, phantom-adjusted	volsp21c	cardiac_ct_scan	number	
phok21c	pht001116.v10, pht001111.v4	Scan 2: phantom adjustment valid	phok21c	cardiac_ct_scan	enum	NOT VALID|VALID
cacq1c	pht001116.v10, pht001111.v4	Age, gender, race-adjusted quantiles of cac score (mcclelland, circulation 2006), between prcacgt0 and 1	cacq1c	cardiac_ct_scan	number	
prcacgt01c	pht001116.v10, pht001111.v4	Age, gender, race-adjusted probability of a non-zero calcium score (mcclelland, circulation 2006)	prcacgt01c	cardiac_ct_scan	number	
ctsmod1	pht001116.v10, pht001111.v4	Exam 1 ct scanner model	ctsmod1	cardiac_ct_scan	enum	AQUILION|AQUILION 64|IMATRON C-150|INNER EBT|LIGHT SPEED 16|LIGHT SPEED PLUS|LIGHT SPEED PRO 16|LIGHT SPEED QX/I|SENSATION 16|SENSATION CARDIAC 64|VOLUME ZOOM
cystatc1	pht001116.v10, pht001111.v4	Cystatin c (mg/l)	cystatc1	lab_result	number	
ecglvh1c	pht001116.v10, pht001111.v4	Left ventricular hypertrophy by novacode	ecglvh1c	electrocardiogram_test	boolean	
afib1c	pht001116.v10, pht001111.v4	Atrial fibrillation / flutter by novacode	afib1c	electrocardiogram_test	boolean	
epicare1	pht001116.v10, pht001111.v4	Epicare sequence number	epicare1	electrocardiogram_test	number	
prdur1	pht001116.v10, pht001111.v4	Pr interval (msec)	prdur1	electrocardiogram_test	number	
qrsdur1	pht001116.v10, pht001111.v4	Qrs interval (msec)	qrsdur1	electrocardiogram_test	number	
qtdur1	pht001116.v10, pht001111.v4	Qt interval (msec)	qtdur1	electrocardiogram_test	number	
qtcdur1	pht001116.v10, pht001111.v4	Qtc interval (msec)	qtcdur1	electrocardiogram_test	number	
paxis1	pht001116.v10, pht001111.v4	P axis (degrees)	paxis1	electrocardiogram_test	number	
qrsaxis1	pht001116.v10, pht001111.v4	Qrs axis (degrees)	qrsaxis1	electrocardiogram_test	number	
taxis1	pht001116.v10, pht001111.v4	T axis (degrees)	taxis1	electrocardiogram_test	number	
ecgqgrd1	pht001116.v10, pht001111.v4	Ecg quality grade	ecgqgrd1	electrocardiogram_test	number	
leadswp1	pht001116.v10, pht001111.v4	Lead connection interchange	leadswp1	electrocardiogram_test	number	
ncvp1a1	pht001116.v10, pht001111.v4	Novacode 1 rhythm score a	ncvp1a1	electrocardiogram_test	string	
ncvp1b1	pht001116.v10, pht001111.v4	Novacode 1 rhythm score b	ncvp1b1	electrocardiogram_test	string	
ncvp1c1	pht001116.v10, pht001111.v4	Novacode 1 rhythm score c	ncvp1c1	electrocardiogram_test	string	
ncvp1d1	pht001116.v10, pht001111.v4	Novacode 1 rhythm score d	ncvp1d1	electrocardiogram_test	string	
ncvp1e1	pht001116.v10, pht001111.v4	Novacode 1 rhythm score e	ncvp1e1	electrocardiogram_test	string	
ncvp1f1	pht001116.v10, pht001111.v4	Novacode 1 rhythm score f	ncvp1f1	electrocardiogram_test	string	
ncvp1g1	pht001116.v10, pht001111.v4	Novacode 1 rhythm score g	ncvp1g1	electrocardiogram_test	string	
ncsuppa1	pht001116.v10, pht001111.v4	Novacode 1 supplemental score a	ncsuppa1	electrocardiogram_test	string	
ncsuppb1	pht001116.v10, pht001111.v4	Novacode 1 supplemental score b	ncsuppb1	electrocardiogram_test	string	
ncsuppc1	pht001116.v10, pht001111.v4	Novacode 1 supplemental score c	ncsuppc1	electrocardiogram_test	string	
ncsuppd1	pht001116.v10, pht001111.v4	Novacode 1 supplemental score d	ncsuppd1	electrocardiogram_test	string	
ncsuppe1	pht001116.v10, pht001111.v4	Novacode 1 supplemental score e	ncsuppe1	electrocardiogram_test	string	
ncsuppf1	pht001116.v10, pht001111.v4	Novacode 1 supplemental score f	ncsuppf1	electrocardiogram_test	string	
ncsuppg1	pht001116.v10, pht001111.v4	Novacode 1 supplemental score g	ncsuppg1	electrocardiogram_test	string	
ncsp21	pht001116.v10, pht001111.v4	Novacode prevalent code 2: software	ncsp21	electrocardiogram_test	string	
ncsp31	pht001116.v10, pht001111.v4	Novacode prevalent code 3: software	ncsp31	electrocardiogram_test	string	
ncsp41	pht001116.v10, pht001111.v4	Novacode prevalent code 4: software	ncsp41	electrocardiogram_test	string	
ncsp51	pht001116.v10, pht001111.v4	Novacode prevalent code 5: software	ncsp51	electrocardiogram_test	string	
ncsp61	pht001116.v10, pht001111.v4	Novacode prevalent code 6: software	ncsp61	electrocardiogram_test	string	
ncsp71	pht001116.v10, pht001111.v4	Novacode prevalent code 7: software	ncsp71	electrocardiogram_test	string	
ncsp81	pht001116.v10, pht001111.v4	Novacode prevalent code 8: software	ncsp81	electrocardiogram_test	string	
ncsp91	pht001116.v10, pht001111.v4	Novacode prevalent code 9: software	ncsp91	electrocardiogram_test	string	
ncsp101	pht001116.v10, pht001111.v4	Novacode prevalent code 10: software	ncsp101	electrocardiogram_test	string	
ncvp21	pht001116.v10, pht001111.v4	Novacode prevalent code 2: visual	ncvp21	electrocardiogram_test	string	
ncvp31	pht001116.v10, pht001111.v4	Novacode prevalent code 3: visual	ncvp31	electrocardiogram_test	string	
ncvp41	pht001116.v10, pht001111.v4	Novacode prevalent code 4: visual	ncvp41	electrocardiogram_test	string	
ncvp51	pht001116.v10, pht001111.v4	Novacode prevalent code 5: visual	ncvp51	electrocardiogram_test	string	
ncvp61	pht001116.v10, pht001111.v4	Novacode prevalent code 6: visual	ncvp61	electrocardiogram_test	string	
ncvp71	pht001116.v10, pht001111.v4	Novacode prevalent code 7: visual	ncvp71	electrocardiogram_test	string	
ncvp81	pht001116.v10, pht001111.v4	Novacode prevalent code 8: visual	ncvp81	electrocardiogram_test	string	
ncvp91	pht001116.v10, pht001111.v4	Novacode prevalent code 9: visual	ncvp91	electrocardiogram_test	string	
ncvp101	pht001116.v10, pht001111.v4	Novacode prevalent code 10: visual	ncvp101	electrocardiogram_test	string	
mcl11	pht001116.v10, pht001111.v4	Minnesota code 1 score: l leadgroup	mcl11	electrocardiogram_test	string	
mcl41	pht001116.v10, pht001111.v4	Minnesota code 4 score: l leadgroup	mcl41	electrocardiogram_test	string	
mcl51	pht001116.v10, pht001111.v4	Minnesota code 5 score: l leadgroup	mcl51	electrocardiogram_test	string	
mcl921	pht001116.v10, pht001111.v4	Minnesota code 92 score: l leadgroup	mcl921	electrocardiogram_test	string	
mcf11	pht001116.v10, pht001111.v4	Minnesota code 1 score: f leadgroup	mcf11	electrocardiogram_test	string	
mcf41	pht001116.v10, pht001111.v4	Minnesota code 4 score: f leadgroup	mcf41	electrocardiogram_test	string	
mcf51	pht001116.v10, pht001111.v4	Minnesota code 5 score: f leadgroup	mcf51	electrocardiogram_test	string	
mcf921	pht001116.v10, pht001111.v4	Minnesota code 92 score: f leadgroup	mcf921	electrocardiogram_test	string	
mcv11	pht001116.v10, pht001111.v4	Minnesota code 1 score: v leadgroup	mcv11	electrocardiogram_test	string	
mcv41	pht001116.v10, pht001111.v4	Minnesota code 4 score: v leadgroup	mcv41	electrocardiogram_test	string	
mcv51	pht001116.v10, pht001111.v4	Minnesota code 5 score: v leadgroup	mcv51	electrocardiogram_test	string	
mcv921	pht001116.v10, pht001111.v4	Minnesota code 92 score: v leadgroup	mcv921	electrocardiogram_test	string	
mc21	pht001116.v10, pht001111.v4	Minnesota code 2 score	mc21	electrocardiogram_test	string	
mc31	pht001116.v10, pht001111.v4	Minnesota code 3 score	mc31	electrocardiogram_test	string	
mc71	pht001116.v10, pht001111.v4	Minnesota code 7 score	mc71	electrocardiogram_test	string	
mc911	pht001116.v10, pht001111.v4	Minnesota code 9.1 score	mc911	electrocardiogram_test	string	
mc931	pht001116.v10, pht001111.v4	Minnesota code 9.3 score	mc931	electrocardiogram_test	string	
mc941	pht001116.v10, pht001111.v4	Minnesota code 9.4 score	mc941	electrocardiogram_test	string	
mc951	pht001116.v10, pht001111.v4	Minnesota code 9.5 score	mc951	electrocardiogram_test	string	
mcr611	pht001116.v10, pht001111.v4	Minnesota code 6 score: visual 1	mcr611	electrocardiogram_test	string	
mcr621	pht001116.v10, pht001111.v4	Minnesota code 6 score: visual 2	mcr621	electrocardiogram_test	string	
mcr631	pht001116.v10, pht001111.v4	Minnesota code 6 score: visual 3	mcr631	electrocardiogram_test	string	
mcr641	pht001116.v10, pht001111.v4	Minnesota code 6 score: visual 4	mcr641	electrocardiogram_test	string	
mcr651	pht001116.v10, pht001111.v4	Minnesota code 6 score: visual 5	mcr651	electrocardiogram_test	string	
mcr681	pht001116.v10, pht001111.v4	Minnesota code 6 score: visual 8	mcr681	electrocardiogram_test	string	
mcr811	pht001116.v10, pht001111.v4	Minnesota code 8 score: visual 1	mcr811	electrocardiogram_test	string	
mcr821	pht001116.v10, pht001111.v4	Minnesota code 8 score: visual 2	mcr821	electrocardiogram_test	string	
mcr831	pht001116.v10, pht001111.v4	Minnesota code 8 score: visual 3	mcr831	electrocardiogram_test	string	
mcr841	pht001116.v10, pht001111.v4	Minnesota code 8 score: visual 4	mcr841	electrocardiogram_test	string	
mcr861	pht001116.v10, pht001111.v4	Minnesota code 8 score: visual 6	mcr861	electrocardiogram_test	string	
mcr871	pht001116.v10, pht001111.v4	Minnesota code 8 score: visual 7	mcr871	electrocardiogram_test	string	
mcr881	pht001116.v10, pht001111.v4	Minnesota code 8 score: visual 8	mcr881	electrocardiogram_test	string	
mcr891	pht001116.v10, pht001111.v4	Minnesota code 8 score: visual 9	mcr891	electrocardiogram_test	string	
rmsdd1	pht001116.v10, pht001111.v4	Estimate of heart rate variability short-term components	rmsdd1	electrocardiogram_test	number	
sdnn1	pht001116.v10, pht001111.v4	Estimate of overall heart rate variability	sdnn1	electrocardiogram_test	number	
ecgnum1	pht001116.v10, pht001111.v4	Total # ecgs used in heart rate variability analysis	ecgnum1	electrocardiogram_test	number	
baseseq1	pht001116.v10, pht001111.v4	Baseline seq id of compar rec for serial analysis	baseseq1	electrocardiogram_test	number	
paxis1c	pht001116.v10, pht001111.v4	P axis (degrees) - with 999 values recoded to missing	paxis1c	electrocardiogram_test	number	
prdur1c	pht001116.v10, pht001111.v4	Pr interval (msec) - with 0=supressed recoded to missing	prdur1c	electrocardiogram_test	number	
qktempr1	pht001116.v10, pht001111.v4	I am quick tempered	qktempr1	psychosocial_questionnaire	enum	ALMOST NEVER|SOMETIMES|OFTEN|ALMOST ALWAYS
frtempr1	pht001116.v10, pht001111.v4	I have a fiery temper	frtempr1	psychosocial_questionnaire	enum	ALMOST NEVER|SOMETIMES|OFTEN|ALMOST ALWAYS
hothead1	pht001116.v10, pht001111.v4	I am a hotheaded person	hothead1	psychosocial_questionnaire	enum	ALMOST NEVER|SOMETIMES|OFTEN|ALMOST ALWAYS
angry1	pht001116.v10, pht001111.v4	I get angry when slowed by others' mistakes	angry1	psychosocial_questionnaire	enum	ALMOST NEVER|SOMETIMES|OFTEN|ALMOST ALWAYS
annoyed1	pht001116.v10, pht001111.v4	I am annoyed when not regognized for good work	annoyed1	psychosocial_questionnaire	enum	ALMOST NEVER|SOMETIMES|OFTEN|ALMOST ALWAYS
flyoff1	pht001116.v10, pht001111.v4	I fly off the handle	flyoff1	psychosocial_questionnaire	enum	ALMOST NEVER|SOMETIMES|OFTEN|ALMOST ALWAYS
nasty1	pht001116.v10, pht001111.v4	I say nasty things when mad	nasty1	psychosocial_questionnaire	enum	ALMOST NEVER|SOMETIMES|OFTEN|ALMOST ALWAYS
furious1	pht001116.v10, pht001111.v4	I get furious when criticized in front of others	furious1	psychosocial_questionnaire	enum	ALMOST NEVER|SOMETIMES|OFTEN|ALMOST ALWAYS
fruhit1	pht001116.v10, pht001111.v4	I feel like hitting someone when frustrated	fruhit1	psychosocial_questionnaire	enum	ALMOST NEVER|SOMETIMES|OFTEN|ALMOST ALWAYS
infurat1	pht001116.v10, pht001111.v4	I feel infuriated when i do a good job and get a poor evaluation	infurat1	psychosocial_questionnaire	enum	ALMOST NEVER|SOMETIMES|OFTEN|ALMOST ALWAYS
steady1	pht001116.v10, pht001111.v4	I am a steady person	steady1	psychosocial_questionnaire	enum	ALMOST NEVER|SOMETIMES|OFTEN|ALMOST ALWAYS
satisf1	pht001116.v10, pht001111.v4	I feel satisfied with myself	satisf1	psychosocial_questionnaire	enum	ALMOST NEVER|SOMETIMES|OFTEN|ALMOST ALWAYS
nervous1	pht001116.v10, pht001111.v4	I feel nervous and restless	nervous1	psychosocial_questionnaire	enum	ALMOST NEVER|SOMETIMES|OFTEN|ALMOST ALWAYS
unhappy1	pht001116.v10, pht001111.v4	I wish to be as happy as others seem to be	unhappy1	psychosocial_questionnaire	enum	ALMOST NEVER|SOMETIMES|OFTEN|ALMOST ALWAYS
failure1	pht001116.v10, pht001111.v4	I feel like a failure	failure1	psychosocial_questionnaire	enum	ALMOST NEVER|SOMETIMES|OFTEN|ALMOST ALWAYS
turmoil1	pht001116.v10, pht001111.v4	I feel tension when i think of recent concerns/interests	turmoil1	psychosocial_questionnaire	enum	ALMOST NEVER|SOMETIMES|OFTEN|ALMOST ALWAYS
secure1	pht001116.v10, pht001111.v4	I feel secure	secure1	psychosocial_questionnaire	enum	ALMOST NEVER|SOMETIMES|OFTEN|ALMOST ALWAYS
noconf1	pht001116.v10, pht001111.v4	I lack self-confidence	noconf1	psychosocial_questionnaire	enum	ALMOST NEVER|SOMETIMES|OFTEN|ALMOST ALWAYS
inadeqt1	pht001116.v10, pht001111.v4	I feel inadequate	inadeqt1	psychosocial_questionnaire	enum	ALMOST NEVER|SOMETIMES|OFTEN|ALMOST ALWAYS
worry1	pht001116.v10, pht001111.v4	I worry too much over something that does not matter	worry1	psychosocial_questionnaire	enum	ALMOST NEVER|SOMETIMES|OFTEN|ALMOST ALWAYS
hprb1pt1	pht001116.v10, pht001111.v4	Serious ongoing health problem (self)	hprb1pt1	psychosocial_questionnaire	boolean	
hprb2pt1	pht001116.v10, pht001111.v4	Ongoing health problem (self), > 6 mothths	hprb2pt1	psychosocial_questionnaire	boolean	
hprb3pt1	pht001116.v10, pht001111.v4	Ongoing health problem (self), how stressful	hprb3pt1	psychosocial_questionnaire	enum	NOT VERY STRESSFUL|MODERATELY STRESSFUL|VERY STRESSFUL
hprb1ot1	pht001116.v10, pht001111.v4	Serious ongoing health problem (someone close to you)	hprb1ot1	psychosocial_questionnaire	boolean	
hprb2ot1	pht001116.v10, pht001111.v4	Ongoing health problem (someone close to you), >6 months	hprb2ot1	psychosocial_questionnaire	boolean	
hprb3ot1	pht001116.v10, pht001111.v4	Ongoing health problem (someone close to you), how stressful	hprb3ot1	psychosocial_questionnaire	enum	NOT VERY STRESSFUL|MODERATELY STRESSFUL|VERY STRESSFUL
job1prb1	pht001116.v10, pht001111.v4	Ongoing job difficulties	job1prb1	psychosocial_questionnaire	boolean	
job2prb1	pht001116.v10, pht001111.v4	Ongoing job difficulties, > 6 months	job2prb1	psychosocial_questionnaire	boolean	
job3prb1	pht001116.v10, pht001111.v4	Ongoing job difficulties, how stressful	job3prb1	psychosocial_questionnaire	enum	NOT VERY STRESSFUL|MODERATELY STRESSFUL|VERY STRESSFUL
mon1prb1	pht001116.v10, pht001111.v4	Ongoing financial strain	mon1prb1	psychosocial_questionnaire	boolean	
mon2prb1	pht001116.v10, pht001111.v4	Ongoing financial strain, > 6 months	mon2prb1	psychosocial_questionnaire	boolean	
mon3prb1	pht001116.v10, pht001111.v4	Ongoing financial strain, how stressful	mon3prb1	psychosocial_questionnaire	enum	NOT VERY STRESSFUL|MODERATELY STRESSFUL|VERY STRESSFUL
rel1prb1	pht001116.v10, pht001111.v4	Ongoing relationship problems	rel1prb1	psychosocial_questionnaire	boolean	
rel2prb1	pht001116.v10, pht001111.v4	Ongoing relationship problems, > 6 months	rel2prb1	psychosocial_questionnaire	boolean	
rel3prb1	pht001116.v10, pht001111.v4	Ongoing relationship problems, how stressful	rel3prb1	psychosocial_questionnaire	enum	NOT VERY STRESSFUL|MODERATELY STRESSFUL|VERY STRESSFUL
bother1	pht001116.v10, pht001111.v4	Bothered by things, past week	bother1	psychosocial_questionnaire	enum	<1 DAY|1-2 DAYS|3-4 DAYS|5-7 DAYS
noteat1	pht001116.v10, pht001111.v4	Poor appetite, past week	noteat1	psychosocial_questionnaire	enum	<1 DAY|1-2 DAYS|3-4 DAYS|5-7 DAYS
blue1	pht001116.v10, pht001111.v4	Could not shake the blues, past week	blue1	psychosocial_questionnaire	enum	<1 DAY|1-2 DAYS|3-4 DAYS|5-7 DAYS
asgood1	pht001116.v10, pht001111.v4	Felt i was as good as other people, past week	asgood1	psychosocial_questionnaire	enum	<1 DAY|1-2 DAYS|3-4 DAYS|5-7 DAYS
concntr1	pht001116.v10, pht001111.v4	Trouble keeping my mind on what i'm doing, past week	concntr1	psychosocial_questionnaire	enum	<1 DAY|1-2 DAYS|3-4 DAYS|5-7 DAYS
depress1	pht001116.v10, pht001111.v4	Felt depressed, past week	depress1	psychosocial_questionnaire	enum	<1 DAY|1-2 DAYS|3-4 DAYS|5-7 DAYS
effort1	pht001116.v10, pht001111.v4	Felt everything was an effort, past week	effort1	psychosocial_questionnaire	enum	<1 DAY|1-2 DAYS|3-4 DAYS|5-7 DAYS
hopeful1	pht001116.v10, pht001111.v4	Felt hopeful about future, past week	hopeful1	psychosocial_questionnaire	enum	<1 DAY|1-2 DAYS|3-4 DAYS|5-7 DAYS
lffail1	pht001116.v10, pht001111.v4	Thought life had been a failure, past week	lffail1	psychosocial_questionnaire	enum	<1 DAY|1-2 DAYS|3-4 DAYS|5-7 DAYS
fearful1	pht001116.v10, pht001111.v4	Felt fearful, past week	fearful1	psychosocial_questionnaire	enum	<1 DAY|1-2 DAYS|3-4 DAYS|5-7 DAYS
badslp1	pht001116.v10, pht001111.v4	Sleep was restless, past week	badslp1	psychosocial_questionnaire	enum	<1 DAY|1-2 DAYS|3-4 DAYS|5-7 DAYS
happy1	pht001116.v10, pht001111.v4	Was happy, past week	happy1	psychosocial_questionnaire	enum	<1 DAY|1-2 DAYS|3-4 DAYS|5-7 DAYS
lestalk1	pht001116.v10, pht001111.v4	Talked less than usual, past week	lestalk1	psychosocial_questionnaire	enum	<1 DAY|1-2 DAYS|3-4 DAYS|5-7 DAYS
lonely1	pht001116.v10, pht001111.v4	Felt lonely, past week	lonely1	psychosocial_questionnaire	enum	<1 DAY|1-2 DAYS|3-4 DAYS|5-7 DAYS
unfrnly1	pht001116.v10, pht001111.v4	People were unfriendly, past week	unfrnly1	psychosocial_questionnaire	enum	<1 DAY|1-2 DAYS|3-4 DAYS|5-7 DAYS
enjlife1	pht001116.v10, pht001111.v4	Enjoyed life, past week	enjlife1	psychosocial_questionnaire	enum	<1 DAY|1-2 DAYS|3-4 DAYS|5-7 DAYS
cryspel1	pht001116.v10, pht001111.v4	Had crying spells, past week	cryspel1	psychosocial_questionnaire	enum	<1 DAY|1-2 DAYS|3-4 DAYS|5-7 DAYS
sad1	pht001116.v10, pht001111.v4	Felt sad, past week	sad1	psychosocial_questionnaire	enum	<1 DAY|1-2 DAYS|3-4 DAYS|5-7 DAYS
dislikd1	pht001116.v10, pht001111.v4	Felt people disliked me, past week	dislikd1	psychosocial_questionnaire	enum	<1 DAY|1-2 DAYS|3-4 DAYS|5-7 DAYS
getgoin1	pht001116.v10, pht001111.v4	Could not "get going", past week	getgoin1	psychosocial_questionnaire	enum	<1 DAY|1-2 DAYS|3-4 DAYS|5-7 DAYS
