NWD_ID	HapMap_1000G_ID	SEQ_CTR	CRAM_URL	CRAI_URL
NWD263474	NA19238	NYGC	gs://cgp-commons-multi-region-public/topmed_open_access/NWD263474.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD263474.recab.cram.crai
NWD285363	NA19238	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD285363.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD285363.recab.cram.crai
NWD290849	NA19238	NYGC	gs://cgp-commons-multi-region-public/topmed_open_access/NWD290849.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD290849.recab.cram.crai
NWD293295	NA19238	NYGC	gs://cgp-commons-multi-region-public/topmed_open_access/NWD293295.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD293295.recab.cram.crai
NWD296991	NA19238	Baylor	gs://cgp-commons-multi-region-public/topmed_open_access/NWD296991.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD296991.recab.cram.crai
NWD298195	NA12878	UW	gs://cgp-commons-multi-region-public/topmed_open_access/NWD298195.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD298195.recab.cram.crai
NWD315195	NA12878	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD315195.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD315195.recab.cram.crai
NWD315403	HG01249	UW	gs://cgp-commons-multi-region-public/topmed_open_access/NWD315403.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD315403.recab.cram.crai
NWD316026	HG01249	WashU	gs://cgp-commons-multi-region-public/topmed_open_access/NWD316026.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD316026.recab.cram.crai
NWD319341	NA19238	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD319341.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD319341.recab.cram.crai
NWD373853	NA19238	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD373853.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD373853.recab.cram.crai
NWD422016	NA19238	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD422016.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD422016.recab.cram.crai
NWD428511	NA12878	Illumina	gs://cgp-commons-multi-region-public/topmed_open_access/NWD428511.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD428511.recab.cram.crai
NWD433038	NA12878	UW	gs://cgp-commons-multi-region-public/topmed_open_access/NWD433038.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD433038.recab.cram.crai
NWD434806	NA12878	Baylor	gs://cgp-commons-multi-region-public/topmed_open_access/NWD434806.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD434806.recab.cram.crai
NWD444824	NA19238	Baylor	gs://cgp-commons-multi-region-public/topmed_open_access/NWD444824.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD444824.recab.cram.crai
NWD446684	NA19238	Illumina	gs://cgp-commons-multi-region-public/topmed_open_access/NWD446684.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD446684.recab.cram.crai
NWD455342	NA19238	UW	gs://cgp-commons-multi-region-public/topmed_open_access/NWD455342.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD455342.recab.cram.crai
NWD463423	HG01249	NYGC	gs://cgp-commons-multi-region-public/topmed_open_access/NWD463423.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD463423.recab.cram.crai
NWD465900	NA19238	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD465900.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD465900.recab.cram.crai
NWD470340	NA12878	UW	gs://cgp-commons-multi-region-public/topmed_open_access/NWD470340.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD470340.recab.cram.crai
NWD479955	NA12878	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD479955.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD479955.recab.cram.crai
NWD480514	NA19238	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD480514.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD480514.recab.cram.crai
NWD490850	NA19238	UW	gs://cgp-commons-multi-region-public/topmed_open_access/NWD490850.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD490850.recab.cram.crai
NWD492101	HG01249	Baylor	gs://cgp-commons-multi-region-public/topmed_open_access/NWD492101.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD492101.recab.cram.crai
NWD495157	HG01111	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD495157.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD495157.recab.cram.crai
NWD496530	NA12878	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD496530.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD496530.recab.cram.crai
NWD502718	NA19238	NYGC	gs://cgp-commons-multi-region-public/topmed_open_access/NWD502718.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD502718.recab.cram.crai
NWD512755	NA12878	NYGC	gs://cgp-commons-multi-region-public/topmed_open_access/NWD512755.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD512755.recab.cram.crai
NWD518110	NA19238	UW	gs://cgp-commons-multi-region-public/topmed_open_access/NWD518110.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD518110.recab.cram.crai
NWD524030	NA19238	Baylor	gs://cgp-commons-multi-region-public/topmed_open_access/NWD524030.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD524030.recab.cram.crai
NWD535753	NA12878	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD535753.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD535753.recab.cram.crai
NWD548310	NA12878	Baylor	gs://cgp-commons-multi-region-public/topmed_open_access/NWD548310.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD548310.recab.cram.crai
NWD578417	NA12878	UW	gs://cgp-commons-multi-region-public/topmed_open_access/NWD578417.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD578417.recab.cram.crai
NWD578584	NA19238	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD578584.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD578584.recab.cram.crai
NWD580039	NA12878	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD580039.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD580039.recab.cram.crai
NWD585842	HG01110	Baylor	gs://cgp-commons-multi-region-public/topmed_open_access/NWD585842.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD585842.recab.cram.crai
NWD611564	NA19238	Baylor	gs://cgp-commons-multi-region-public/topmed_open_access/NWD611564.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD611564.recab.cram.crai
NWD614349	HG01111	WashU	gs://cgp-commons-multi-region-public/topmed_open_access/NWD614349.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD614349.recab.cram.crai
NWD626020	NA19238	UW	gs://cgp-commons-multi-region-public/topmed_open_access/NWD626020.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD626020.recab.cram.crai
NWD626736	NA19238	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD626736.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD626736.recab.cram.crai
NWD635737	HG01111	NYGC	gs://cgp-commons-multi-region-public/topmed_open_access/NWD635737.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD635737.recab.cram.crai
NWD651125	NA19238	Baylor	gs://cgp-commons-multi-region-public/topmed_open_access/NWD651125.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD651125.recab.cram.crai
NWD651283	NA19238	Baylor	gs://cgp-commons-multi-region-public/topmed_open_access/NWD651283.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD651283.recab.cram.crai
NWD651359	NA19238	NYGC	gs://cgp-commons-multi-region-public/topmed_open_access/NWD651359.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD651359.recab.cram.crai
NWD652050	NA12878	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD652050.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD652050.recab.cram.crai
NWD672633	NA19238	UW	gs://cgp-commons-multi-region-public/topmed_open_access/NWD672633.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD672633.recab.cram.crai
NWD677194	NA12878	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD677194.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD677194.recab.cram.crai
NWD684137	HG01249	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD684137.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD684137.recab.cram.crai
NWD697767	NA12878	Baylor	gs://cgp-commons-multi-region-public/topmed_open_access/NWD697767.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD697767.recab.cram.crai
NWD704221	NA12878	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD704221.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD704221.recab.cram.crai
NWD714003	NA12878	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD714003.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD714003.recab.cram.crai
NWD716220	NA19238	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD716220.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD716220.recab.cram.crai
NWD725484	NA12878	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD725484.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD725484.recab.cram.crai
NWD742333	NA19238	Baylor	gs://cgp-commons-multi-region-public/topmed_open_access/NWD742333.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD742333.recab.cram.crai
NWD746396	HG01249	WashU	gs://cgp-commons-multi-region-public/topmed_open_access/NWD746396.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD746396.recab.cram.crai
NWD754590	NA12878	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD754590.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD754590.recab.cram.crai
NWD759405	NA19238	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD759405.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD759405.recab.cram.crai
NWD760327	NA19238	Macrogen	gs://cgp-commons-multi-region-public/topmed_open_access/NWD760327.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD760327.recab.cram.crai
NWD761329	NA19238	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD761329.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD761329.recab.cram.crai
NWD762682	NA12878	NYGC	gs://cgp-commons-multi-region-public/topmed_open_access/NWD762682.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD762682.recab.cram.crai
NWD763972	NA19238	UW	gs://cgp-commons-multi-region-public/topmed_open_access/NWD763972.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD763972.recab.cram.crai
NWD768309	NA12878	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD768309.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD768309.recab.cram.crai
NWD768493	NA19238	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD768493.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD768493.recab.cram.crai
NWD769626	NA19238	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD769626.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD769626.recab.cram.crai
NWD778759	NA12878	UW	gs://cgp-commons-multi-region-public/topmed_open_access/NWD778759.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD778759.recab.cram.crai
NWD790783	NA12878	Baylor	gs://cgp-commons-multi-region-public/topmed_open_access/NWD790783.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD790783.recab.cram.crai
NWD791319	NA19238	Baylor	gs://cgp-commons-multi-region-public/topmed_open_access/NWD791319.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD791319.recab.cram.crai
NWD805667	NA19238	Macrogen	gs://cgp-commons-multi-region-public/topmed_open_access/NWD805667.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD805667.recab.cram.crai
NWD812009	NA12878	UW	gs://cgp-commons-multi-region-public/topmed_open_access/NWD812009.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD812009.recab.cram.crai
NWD821054	NA12878	Baylor	gs://cgp-commons-multi-region-public/topmed_open_access/NWD821054.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD821054.recab.cram.crai
NWD831422	NA12878	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD831422.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD831422.recab.cram.crai
NWD832275	NA19238	UW	gs://cgp-commons-multi-region-public/topmed_open_access/NWD832275.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD832275.recab.cram.crai
NWD841343	NA12878	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD841343.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD841343.recab.cram.crai
NWD842401	HG01111	Baylor	gs://cgp-commons-multi-region-public/topmed_open_access/NWD842401.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD842401.recab.cram.crai
NWD855893	NA19238	Baylor	gs://cgp-commons-multi-region-public/topmed_open_access/NWD855893.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD855893.recab.cram.crai
NWD866959	NA19238	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD866959.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD866959.recab.cram.crai
NWD875673	NA12878	Baylor	gs://cgp-commons-multi-region-public/topmed_open_access/NWD875673.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD875673.recab.cram.crai
NWD881320	NA12878	Baylor	gs://cgp-commons-multi-region-public/topmed_open_access/NWD881320.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD881320.recab.cram.crai
NWD886731	NA12878	Baylor	gs://cgp-commons-multi-region-public/topmed_open_access/NWD886731.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD886731.recab.cram.crai
NWD897509	NA19238	UW	gs://cgp-commons-multi-region-public/topmed_open_access/NWD897509.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD897509.recab.cram.crai
NWD901849	NA12878	NYGC	gs://cgp-commons-multi-region-public/topmed_open_access/NWD901849.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD901849.recab.cram.crai
NWD905240	NA12878	UW	gs://cgp-commons-multi-region-public/topmed_open_access/NWD905240.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD905240.recab.cram.crai
NWD909656	NA19238	NYGC	gs://cgp-commons-multi-region-public/topmed_open_access/NWD909656.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD909656.recab.cram.crai
NWD910953	NA12878	Baylor	gs://cgp-commons-multi-region-public/topmed_open_access/NWD910953.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD910953.recab.cram.crai
NWD918554	NA19238	UW	gs://cgp-commons-multi-region-public/topmed_open_access/NWD918554.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD918554.recab.cram.crai
NWD929194	NA12878	NYGC	gs://cgp-commons-multi-region-public/topmed_open_access/NWD929194.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD929194.recab.cram.crai
NWD952432	NA12878	Broad	gs://cgp-commons-multi-region-public/topmed_open_access/NWD952432.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD952432.recab.cram.crai
NWD953198	NA19238	NYGC	gs://cgp-commons-multi-region-public/topmed_open_access/NWD953198.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD953198.recab.cram.crai
NWD967078	NA19238	Baylor	gs://cgp-commons-multi-region-public/topmed_open_access/NWD967078.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD967078.recab.cram.crai
NWD968809	HG01110	WashU	gs://cgp-commons-multi-region-public/topmed_open_access/NWD968809.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD968809.recab.cram.crai
NWD991001	NA12878	NYGC	gs://cgp-commons-multi-region-public/topmed_open_access/NWD991001.recab.cram	gs://cgp-commons-multi-region-public/topmed_open_access/NWD991001.recab.cram.crai
